content,polarity
Diga cuanto nos van a costar las  autovías  de sus amiguetes ¿4500 millones o más ?  @EsperanzAguirre @PPopular,N
@lhermoso_ @sanchezcastejon  #DobleMoral  Castilla antes que Aragón...,N
@PSOE  @sanchezcastejon Me hace mucha gracia que esa afirmación la haga el PSOE,N
Para que todo el mundo lo tengo claro ....  @CsAlzira_   https://t.co/kcDxbhu3Ha,NEU
@Albert_Rivera  y  @CiudadanosCs  saben q este país es progresista pero q se arruga y vota centro. Discurso moderado y electoralista.,N
@sanchezcastejon  Todos los castellanos deberíamos celebrar. No sólo los del norte. En C-LM el festivo es 1 tonta fecha admva. #Propuesta,NEU
"@SooZLetras  @iunida  @IUCM No conozco los detalles, pero los valores y los principios me importan más de lo que me preocupan las disensiones",NEU
"@cesarpopmadrid lo comprendo, pero esos valores y principios están mejor representados en otras candidaturas de @iunida y no en la de  @IUCM .",N
"Partido podrido, partido prostituido =  @PPopular   https://t.co/C9YbvGD4zh",N
"@JDescane @quetemuevas @CiudadanosCs @emaspolet Sencillo:  Langosta, caviar y solomillo más barato y pan, leche, huevos, patatas...  más caro.",NEU
@AntonioMaestre si lo propusiese  @ahorapodemos  o  @iunida  sería titular de portada a 5 columnas! @CiudadanosCs,NEU
@PPopular  pero que poca vergüenza teneis degenerados,N
@LuisSalvador firma @JaqueAlReyLS en @FLMalaga con @qproquo http://t.co/rVeLFjOInY @CsMalaga @CsGranada  @CiudadanosCs,NEU
@CiudadanosCs @Albert_Rivera yo espero que los españoles que respetamos la  democracia  como tal no votemosun partido republicano con ideas1/2,P
Te esperamos con el compromiso de nuestro  Secretario General  @sanchezcastejon para El BIERZO http://t.co/x84bZmLJLV,NEU
@chacbas @HoyPorHoy @Albert_Rivera Seria idea luna  sanidad  gratuita global..Pero hay sanidad gratuita para los españoles cuando salimos??,NEU
"José Ignacio Wert  Ministro de Educación Cultura y Deportes del Gobierno de España, Nuria Riera Con... https://t.co/Hv1Vp0bQao via @change_es",NEU
.@AytoAntequera ha pasado en 4 años de recibir  avisos de corte d luz por impagos  con @psoe a  renovar luminarias eficientes  con @PPAntequera,N
#ConMasFuerza Los resultados de  @iuandalucia  mejorarán en las municipales.  @MailloAntonio .  @agarzon   @cayo_lara  @nuet http://t.co/pRRsvt37Dr,P
"@FeminismoDgital @LinesFoz @FozPSOE @sanchezcastejon x eso pedimos una ley q proteja a todas las partes, sin recovecos  #GestacionSubrogada",NEU
@sanchezcastejon  Hoy es un buen día para recomendar un libro... ¿Te animas?...,P
"@PSOE  @mjpartera  @sanchezcastejon  El mismo que tenéis vosotros. No se ponga usted tan digno,  don Pedro .",N
@Albert_Rivera  esperando q algún día vengas a Zaragoza a firmármelo! http://t.co/Qxe60jE2M2,P
@AntonioMaestre @CiudadanosCs yo la subí en Menéame y los propios simpatizantes de C's la tumbaron. Y todavía niegan la  subida del IVA,N
IU denuncia la apuesta del PP por profundizar la privatización en la  Educación Superior  | IZQUIERDA UNIDA http://t.co/PVvccGoVmz via @iunida,N
"@anguitista converger con un partido que primeramente son ellos quienes no quieren la convergencia con nosotros, @pagan_gines  @agarzon",NEU
"@Albert_Rivera  solo felicitaros por la no eleccion de  Juan Carlos Machuca  en Parla , no te imaginas lo trepas que es , saludos",NEU
¿Q ha hecho mal @UPyD dsd entonces? ¿Pq ya no  capitaliza voto   desencantados x el sistema partidos actual ? #Reflexion http://t.co/GBAta9JAob,NEU
Me firma el libro @marianorajoy ?? #FelizDiaDelLibro son unos  recibís  que le quedaron pendientes http://t.co/x4X6GtoOYu,NEU
@MGFolch  @PPopular  Así debe se ser además lo hacen con unas llamadas de teléfono y una buena comilona o cena que pagamos los españoles,N
"@Kelpie75 olvídate de podemos y de sus dirigentes porfa.  La convergencia se da por abajo, no por arriba  @pagan_gines @agarzon",NEU
"@martalopeza @GSubrogada  @sanchezcastejon  yo le presenté a mis hijas en Plasencia y tb me dijo q iba a hacer algo, pero me temo q ....",NEU
Ayer en el Congreso reunidos con @PSOE expusimos proyecto  #TaxiUrbanSocialCity  para una #SmartSocialCity. #ClaroQueSí http://t.co/wNTGZTOPQZ,NEU
"@agarzon @vocalcbaza tenías que decir ""  contar con nosotros y nosotras ""  como has dicho más de una vez. A lo que llegamos !!!",N
"@Albert_Rivera @CiudadanosCs  Estoy segura d q estais muy ocupados, pero agradeceria una respuesta a mi twit d ayer...acaso no hay nadie ahi?",N
"@Kelpie75 pues caro que pecan de adanismo y muchas de las nuestras también de  sectarismo , compartimos el carrillismo @pagan_gines @agarzon",N
@nieveslazurda @ccifuentes @PPopular Las privatizaciones crean  paro y miseria  mientras  políticos corruptos y sus amigos se llenan el bolsillo,N
"@Kelpie75 y  defender la  lucha de clases  es defender a los  trabajadores  concienciándoles, estén donde estén  @pagan_gines @agarzon",NEU
@libertaddigital @MiriamMuroM @ahorapodemos @Monolocus @VenezuelAeLibre @periodicovzlano Venezuela fue el origen de  Podemos  y será su fin.,N
@sanchezcastejon moze no paras de  meter la pata .....,N
"@Roberhawk  @PPopular  En Nueva yor? Quiénes,los mismos que acusan a @NicolasMaduro de asesino  @Pablo_Iglesias_  ?",NEU
@PPopular @Qvixote2015 O podemos leer el BOE donde habéis metido el  programa de religión  en los colegios. Eso si queremos tragicomedia.,N
"@anguitista exactamente, por abajo,  consultando a las bases  y lo que veo por parte de @agarzon y otros es  todo lo contrario  @pagan_gines",N
"@cmgorriaran @DANIEL_FM_TUIT @UPyD lo dicho, no me  parece que ayude a quitar la imagen  de que  UPyD desaparece ...",N
Diez huelgas de  Educación  en Aragón desde que Wert es ministro http://t.co/bFTAhJz1Ru vía @eldiarioaragon,N
Pues habrá que  cepillarse  a  #Trillo  y a  #Pujalte  no compañeros?  @PPopular,N
@JuanMijimenez @canarias7  @PSOE  @coalicion la GESTION del #BarcoRuso es de ministerio y por tanto del estado de la nación.,NEU
@sosvzlalibertad @PSOE @sanchezcastejon para  gastarte  lo q t ahorras en los centimos q sube el pan tienes q comprarte la panaderia,N
@iunida yo prefiero tener  profesores  que cobran tanto si lo hacen bien como si lo hacen mal. Y que no necesitan reciclarse :),P
@anguitista y lo tenemos?  A ti te hab preguntado si quieres converger con Podemos ? Porque a mi no @agarzon @pagan_gines,N
@Kelpie75  IU   nace  sabiendo que sola no podía y como seña de identidad la unidad @pagan_gines @agarzon,P
"@anguitista totalmente de acuerdo, pero no a costa de perder nuestra  identidad  sino haciendo lo que hemos hecho @pagan_gines @agarzon",NEU
"Conoce la web de @ramonmarcos ,  candidato  @UPyD Presidencia Comunidad Madrid. http://t.co/KkHYEYZKZc  #ramonmarcos2015 http://t.co/fAxiIhjtR0",NEU
@ramonmarcos @UPyD:  Presentamos un programa  con + de 400 medidas q nos hagan ser decisivos y conseguir un gobierno decente #ramonmarcos2015,NEU
"@anguitista siempre, trabajar y  apoyar a la clase trabajadora  @pagan_gines @agarzon",P
"@variedades1961 @cmgorriaran @UPyD somos iguales ? Está seguro ?  Aforamientos ,  17 sistemas salud  y  educativos  ,  custodia compartida  .Sigo?",N
"@anguitista  Sí, la  unidad  con la izquierda, en todo caso. @Kelpie75 @pagan_gines @agarzon",P
@anguitista me he leido algunos de los  documentos  @agarzon @pagan_gines,NEU
"@Kelpie75 y la parte q de boquilla aprobó 1 cosa e hizo otra fue los de las siglas; los q participamos, Cambiar Madrid  @agarzon  @pagan_gines",NEU
Me gustaría saber si @CiudadanosCs se ha planteado la eliminación completa d la  Ley del menor.  Si se comete crimen d adulto se paga como tal,NEU
@BomberosGC @canarias7  @PSOE  @coalicion la autoridad portuaria la dirige CC y es quien decide sacar a pasear una marea negra.,NEU
"""@Inivelayensa: Creo que... Vamos a... Pienso que... Haremos... Este lo RT pq me ha hecho gracia : ) #Hacemos  @UPyD  http://t.co/8E1GquWPiS""",NEU
Vamos a seguir demostrando que  @ArucaGomez y @CsTresCantos  utilizan la marca de @CiudadanosCs para conseguir carguitos. Farsa,N
"@jesuspati @PedroChamonL  @UPyD  Pues cuando te aburras y te apetezca hacer un reparto, ya sabes dónde venir ;)",NEU
"Recomiendo la lectura de ""El Cambio Sensato"" por  @Albert_Rivera  donde hay 100 preguntas/100 respuestas #DiaDelLibroCs http://t.co/KX8DFxyipz",P
UPyD critica la decisión de  reducir camas en la Fundación Hospital de Calahorra  y pide que se revoque http://t.co/kbLU2Q17UC vía @upyd,N
@Kelpie75 q es la izquierda? lxs q se dicen que lo son como el PSOE o lxs q defienden  servicios públicos ? @Susana_Vila @pagan_gines @agarzon,N
#gráficos  #IRPF  de @CiudadanosCs perjudica a  rentas  entre 16.000 y 19.500  Datos @Jaume_Vinas http://t.co/hN9dqNjUwy vía @CincoDiascom,NEU
"@PPopular pero la población activa bajó en 127.400 personas y por tanto la  tasa de paro  SUBE hasta el 23,78%. Dejad de vender humo.",N
"De esos 13000 menos de  par o, cuantos indefinidos, cuantos de 8 horas al día? #paro ladrones mentirosos @PPopular",N
"@anguitista los que defendemos y hemos defendido la clase obrera, los que creemos que la unica salida @Susana_Vila @pagan_gines  @agarzon",P
"@CiudadanosCs y @UPyD  se suman en Murcia no  pactar  con el @PPopular  pero si con el partido de Chaves, Griñan, Magdalena Alvarez etc..",N
"El último  libro  q he leído es El cambio sensato @Albert_Rivera, El dilema d España @lugaricano  y Jaque al rey @LuisSalvador #DiaDelLibroCs",NEU
"@Felipenini @lozabest2 @PaquiVicente @ahorapodemos no defiendo a podemos ni siquiera pienso  votarles  pero lo que es,es y lo que no, no",NEU
"@LSan61 @Inivelayensa @lozanoirene @UPyD todo es mejorable, todas las  criticas son bien recibidas  y cuantos mas arrimemos el hombro mejor",NEU
"@AlexStraits @jabiloto @es_INE @marianorajoy ha ha jajaja jajajajaja pero en que país vives?  Vives en una burbuja  y solo lees ACB, no?",N
"@rosadiezupyd @Herzogoff Encuesta en Madrid, donde  mejor resultado sacáis  siempre: http://t.co/jYWPPuGOSL",P
@PPopular ... Lo dicho: el  PP  es el partido del funéreo. Porque para escribir estas cosas...,N
Hemos  defendido a los madrileños como nadie antes .  Ahora cambiaremos #Madrid http://t.co/pQWoNhgviR @UPyD #Libres http://t.co/9S4xPwU5Ia,P
"@PSOE @sanchezcastejon  El PP es un  PARTIDO CORRUPTO  en DESCOMPOSICION Solo faltan PENAS EJEMPLARES y q hablen BARCENAS, RATO, BLESA, MATAS",N
@Kelpie75 @anguitista @Susana_Vila @agarzon. El  marxismo de los dirigentes  de IUCM. Aki yo huelo otros intereses. Me despido,N
"@marianorajoy  presidente de nuevo ya, otra noche como aquella <3",P
"Del error de  @sanchezcastejon  se ha hablado en los medios... ¿q pasa con el de  @mdcospedal  ? Uno es gracioso, el otro es  .....aberrante",NEU
@jezquerra57 Aquí tienes el resumen de lo dicho por @ramonmarcos (@UPyD) en el  debate sanitario  de ayer. http://t.co/okD3M0W8lk,NEU
"@rosadiezupyd  ETA  es responsable del asesinato de 24 niños , perpetró 292 ""asesinatos colectivos"" ...........  http://t.co/HSmDSL308j",N
"En @CiudadanosCs habeis dicho cosas buenas en vuestro programa económico, pero habeís fallado en lo de subir el  IVA  de los productos basicos",N
"@CiudadanosCs @Albert_Rivera España la debe gobernar un partido  sin corruptos  y  sin cuentas en paraísos fiscales,  cosas q ustedes no cumplen",P
En el  @PPopular  están tan escandalizados con el tema de las tarjetas Black que se dedican a recolocar a los imputados,N
@loprimi1 @CiudadanosCs  @Albert_Rivera  Tranquila Ciudsdans te quitará los 210 ,N
Hacienda asegura que  Anticorrupción  no quiso actuar contra Rato http://t.co/Acs9EEm0SS  @UPyD @Herzogoff,N
"@sanchezcastejon,  secretario general del Partido ""Socialisto"": «Ustedes, miembros y miembras... Permítanme la broma» http://t.co/4bPIg5knjc",N
"@sanchezcastejon  y ante todo y sobre todo que DIMITAS TU, LA SECR GRAL DEL @PSOE  @_susanadiaz  Y DISOLVÁIS EL CHIRINGUITO ANDALUZ !!!!",N
"@alquimistaast Ah, por cierto te olvidas de "" empresarios modelo""  como Díaz Ferrán, Arturito y semejantes. Uno -> @javierjuantur @ppopular",N
@rosadiezupyd estáis dando mucha vergüenza con los  ataques populistas  en plan Potemos a C's. Con lo grandes que habéis sido y al final esto.,N
".@ExCiudadano_ Quien quita y pone no son las élites ni el IBEX35, es la  ilusión ciudadana  en las urnas.Ej. @UPyD...@GmezMatas_P @_infoLibre",P
"@AntonioMaestre @maxpradera @CiudadanosCs joder  el Paí s que pena da, en lo que se ha convertido. Pero con no comprarlo no pasa nada.",N
Un sondeo da a  Ángel Gabilondo  @psmadrid @PSOE 6 escaños menos que a Tomás Gómez http://t.co/BTxmLC864y,N
"@es_INE  @marianorajoy  esto no es xq x ley,  tras 2 años de trabajo te obliga a hacer al trabajador indefinido? Solo en el nombre,  no?",NEU
@GonzaloMonedero  Muchas gracias :) @upydvillalba @UPyD,P
"@sanchezcastejon  Y a los catalanes, que hoy es Sant Jordi y el día de la Rosa",NEU
@PPopular  @odradek1 @Qvixote2015 Es posible que no conozcáis otro libro. Fuera la mafia.,N
@PedroFresco @cmgorriaran Cada vez que en @CiudadanosCs hablan de  economía  van sembrando más dudas sobre la conveniencia de votarles.,N
Parados q votan al  @PPopular   q tios + grandes!!!,N
@ahorapodemos @_PabloFdez_ @PodemosEdiUK En Escocia y en UK hay muchos  exiliados venezolanos  ¿por que no los llaman?,N
¿Por qué será que no me sorprende que diputados del  @PPopular  cobren de una constructora?,N
"@rosadiezupyd  Obviedades  de 0,60 Las traigo baratas oiga! Que me las quitan de las manos!",N
"Decencia, independencia, consenso y lucha x el progreso  (para mejorar la vida d la gente) #soluciones @UPyD #LIBRES https://t.co/4ubkQYMVeB",P
@angelcapon Los libros de    @Albert_Rivera  tienen contenido interesante,P
A FAVOR  SUBVENCIONES PÚBLICAS .  @PPopular  @ahorapodemos  @PSOE  @iunida  @CiudadanosCs   QUE SE FINANCIEN SIN TÚ DINERO.  @vox_es   #yoVOX,P
Y las cuentas del partido? Estáis preparados para enseñarlas?  @CiudadanosCs   @Albert_Rivera  http://t.co/ZavBiwedqG,NEU
El  @PPopular  se quiere destruir a sí mismo y vaya que lo va a conseguir  http://t.co/U3qdMy6Oza,N
@olgavilasantos Ojalá hayamos aprendido. JAMÁS. Nunca JAMÁS otra mayoría absoluta. NUNCA. @alquimistaast @javierjuantur  @ppopular,N
"La ilegalidad no es el tema,  ya hacen las leyes a su medida.  La cuestión es la ética. Son unos insultantes indolentes. Mafia  @PPopular",N
@1periko67 @loqveoenlcamino @UPyD ¿ Sólo la  corrupción  del PP ?  ¿ La de CIU y PSOE es corrupción buena ?,N
"@sanchezcastejon  Fórmula de recuperación económica y laboral. Subida de salarios, bajada de precios, recorte del margen de beneficios.",P
Pide a @marianorajoy y @GPPopular q retiren reforma de  ley del #aborto  YA! https://t.co/ymfrpBdTFO vía @amnistiaespana,N
@sarrucha @AlexStraits @es_INE @marianorajoy casi 25% de  paro  y a mi me da igual que parte de culpa tiene cada uno.,N
@marianorajoy  @PPopular  podéis leer y firmar el manifiesto de esta #CandidaturaSostenible aquí: http://t.co/MDtwTFpK5M,NEU
"Noches de hotel que no bajan de 500 diarios.. La alcaldía valenciana (@PPopular) gasta 278.000 en  viajes y comidas"" #ps2015uv",N
Ha venido también un clon de  @Pablo_Iglesias _ con su coleta y una con un #MoñoDeLaDroga a ver a @jaimecamachog http://t.co/6n4yZ7xMp0,NEU
@CiutadansCs @CiudadanosCs @Albert_Rivera  en castellano  sinvergüenzas,N
"@sanchezcastejon alias Pedro Sanchez,  se pierde en Washington, se equivoca de botón y dice que el sevillano Antonio Machado es soriano .",N
@Albert_Rivera  por el Norte ni te vemos ??,N
@PaquiVicente  @PPopular  @PPRMurcia @bernabepaco @JCR_juancarlos no caerá esa breva,N
"@ahorapodemos pues aunque parezca increíble,  han vivido a costa de las minorías . Las mayorías les votaban o se quedaban en casa :'( @UPyD",N
"Dignidad y Justicia acusa a @UPyD de ""hacer  política sucia""  por presentar su propio texto sobre ETA en el Congreso.",N
¿Se compromete  @sanchezcastejon  @PSOE con una #CandidaturaSostenible? http://t.co/MDtwTFpK5M http://t.co/vi852m3wB0,NEU
"@ramonmarcos @UPyD: Queremos analizar todos los contratos, reordenar el  sistema sanitari o, contando con los profesionales #ramonmarcos2015",NEU
".@rosadiezupyd lamenta que el ""poco empleo"" que se crea sea de mala calidad y aseguea q el  paro  es un ""drama"" @UPyD http://t.co/CMgsSXpvz9",N
"En el trabajo: -Siempre he votado @PPopular, pero ahora  estoy pensando votar  @CiudadanosCs -¿Sabes q proponen? -No, pero lo de+ es Venezuela",NEU
""" @Albert_Rivera  ordena a  @CiudadanosCs  no entrar en gobiernos de coalición"" http://t.co/XzdnYbcueB vía @lasprovincias http://t.co/qMW1RKe5wP",NEU
"Recorrido del  @PSOE  con @luistudanca, hacia el #Monolito de #VillalarDeLosComuneros #Villalar2015 #TUdancaPresidente http://t.co/1sbahfPSbO",NEU
Marta Saavedra del  @PSOE  de Las Palmas ve aceptable que hombres inocentes vayan al calabozo @martasaavedraD #EXISTEN http://t.co/OypxdQzax7,N
"#HechosNoPalabras @UPyD ha reclamado una Ley contra el  maltrato anima l, y endurecer sanciones http://t.co/Lx59hIwfiN http://t.co/cOy6rCS74r",NEU
@Noticias24horas  Los bancos no le prestan dinero a  @UPyD  (EL PAÍS 16/EL MUNDO 11),NEU
".@rosadiezupyd: ""Todos pasteleaban, pero UPyD no: con nosotros, los  corruptos  lo pasan peor"" http://t.co/rnG4Zm88wL",P
"@Albert_Rivera @CiudadanosCs QUE ESPEREN PARA COMPRARLOS CUANDO BAJE EL  IVA  CULTURAL, DESPUÉS YA NO PODRÁN COMPRAR PAN Y LECHE. LAMENTABLE.",N
Feliz Sant Jordi  a mis amigas y amigos naranja s.  @CiudadanosCs  http://t.co/52pyF2WBG7,P
No más muertes en el #Mediterráneo @JunckerEU  @marianorajoy  #nomásmuertes https://t.co/040MfUBD4n vía @change_es,N
"Recorrido  del @PSOE con @luistudanca, hacia el #Monolito de #VillalarDeLosComuneros #Villalar2015 #TUdancaPresidente http://t.co/3YtuwHpESg",NEU
Os veo a muchos confundidos con @CiudadanosCs Os mola el  abort o? Yo creo que no https://t.co/FlAryeAtQU http://t.co/WcHkEcAx63,N
@ABiondini @rosadiezupyd;  CUANDO SE HARÁ JUSTICIA CON  LAS 5.000 FAMILIAS ESTAFADAS Y ROBADAS  POR LOS RUIZ MATEOS RIVERO SÁNCHEZ ROMATE...?,N
Ceadac en el  nº331 de la @Revista60ymas (@Imserso) con motivo de la visita del  ministro de Sanidad   @AlfonsoAlonsoPP  http://t.co/q7PEJNHpFl,P
@PPopular No está mal: cambio indefinido  jornada completa  por tres temporales a tiempo parcial. Así sale seguro la cuenta. #muchomorro,N
Manuel de la Rocha @PSOE firma la ILP  #NOALCOPAGOCONFISCATORIO  http://t.co/9I6CyFUsL1,P
"Por suerte para @UPyD,  @EnriqueCalvet   ya no es diputado nuestro ;) @CamaraCeuta @guardiacivil",P
Visitamos el  Mercado de As Conchiñas  con @sanchezcastejon @marbarcon @jrgomezbesteiro http://t.co/JmqM52XAia,NEU
El gobierno del  @PPopular  permite vender tabaco y chuches en los bares que no es su negocio y los kioscos sin dar empleo. Yo entre 5 y 10.,N
La primera verdad que dice el  @PPopular   #Gurtel #Rato #Eolicas #Barcenas   #cambio  @CiudadanosCs   @Albert_Rivera   https://t.co/ZU9aD8jhMI,N
"@Seron_13  @UPyD  @GmezMatas_P @_infoLibre Así es, pero si que hay quien te roba la ilusión con mentiras y malas artes políticas",NEU
"En  @UPyD  seguiremos siendo #LIBRES , independientes, responsables únicamente ante la ciudadanía a la que nos debemos. http://t.co/6PCMDAbfgx",P
@Mhemeroteca @mrgifted  @PPopular  qué vergüenza!,N
IU  ARRIBA   https://t.co/4nsgfbB0sW,P
"@UPyD @UPyDAsturias y de los fondos que algún grupo se gasto en ladrillo, que era para proteger a personas?, ya el  PP  no responde, pregúnten",N
A por el cambio sensato! Gracias  @Albert_Rivera   @Cs_BCNA   @CiudadanosCs  http://t.co/cFx2p5Vl3G,P
"@rosadiezupyd  @cmgorriaran Claro que sí, los que no se merecen que digas que Gallego tiene una connotación peyorativa son los de Lugo.",N
¿Se compromete  @Pablo_Iglesias_ @ahorapodemos  a una #CandidaturaSostenible en Autonómicas? http://t.co/yXw4nMdfdo http://t.co/A3W9lIlIl5,NEU
".@NicodeMig  @CiudadanosCs Euskadi  ""mostramos nuestro compromiso con las pymes como motor de desarrollo fundamental del tejido económico""",NEU
"España necesita partidos #libres. Libres de complejos, libres de ataduras, libres de las oligarquías, libres de corrupción.  @UPyD  lo es.",P
@agarzon  me parece usted un político honesto de los que apenas quedan pero veo difícil el tema del millón de empleo público y mantenerlo...,NEU
#FelizDiaDelLibro #DiadelLibroCs Apostamos por el Desarrollo y Gestión del Conocimiento @CiudadanosCs  @CsCanarias  http://t.co/gtSNKfFPNe,P
"@Mhemeroteca @cmgorriaran  @PPopular  No son sino una mala melodía, no tienen ni ritmo ni compás.",N
"-@rosadiezupyd lamenta que el # empleo  no termine de estabilizarse y dice que el  #paro  ""sigue siendo dramático"" http://t.co/1xdS3UjJWk #EPA",N
@BobPopENELAIRE la diferencias entre Superman y Batman están claras. El primero es de  @UPyD  y el segundo del  PP  con cuentas en Suiza,N
@ANGELJREP  @Albert_Rivera  Y como me gusta y visito mucho esa ciudad se que no todos son como tu,N
". @CiudadanosCs  ¿me podéis explicar por q presentáis a una ""catalanista"" a la presidencia de la GValenciana? http://t.co/Zswvz3eTBI",N
@jorgevalenciai @cmgorriaran  @UPyD  muy bien dicho compañero. Un abrazo,P
". @UPyD  presenta más de 400 medidas para ser ""decisivos"" en la Comunidad: http://t.co/i8SLUSdhuo vía @LaVanguardia",NEU
"@cmgorriaran @calasevi  @UPyD  lo de su sueldo suena abroma de mal gusto, el resto una actitud nada democratica",NEU
«Déficit hídrico es una amenaza para  economía regional » @cesarnebot @UPyD en @laverdad_es http://t.co/FyW4FnRqY4 http://t.co/3R03Zj1PY4,N
"@amnistiaespana @MesaDefensaSani  @marianorajoy  LE VENDA ARMAS A ISRAEL Y PIDAMOS DINERO X LA MUERTE DE UN ESPAÑOL, LE VENDA ARMAS VENEZUELA",N
@PedroAGarcia75 (@UPyD) propone bajar y crear un nuevo  parque de seguridad  en la presentación de su programa  http://t.co/F2CaMq5C3a,NEU
Dice el ministro  Wert  que Habrá  educación audiovisual  en Bachillerato y Secundaria para aprender a 'amar el cine' http://t.co/Z6NZNKKgEL,NEU
@cmgorriaran  @UPyD_Jerez @UPyD ¿y tu no te vas a Ciudadanos hijo? Porque gente que desprotican por esa boca como tu estan mejor en otro lao,N
@PPopular  Yo me cago en vuestra Mldita y Ptsma Madre q os parió. Kbronazos,N
"@Albert_Rivera  @LadyStarlight4 Eso, destruyamos el mundo por una causa justa!",N
"En Exposaldo. X una  administración  más flexible, sensible con gente y comercio#LaPalma@UPyD #ReconstruyendoLosLlanos http://t.co/Gwnwog5emn",P
@logitecnullnet @Pablo_Iglesias_  las trampas  esta claro q triunfan en PPSOE pero no en podemos me alegro por ello,N
@Pablo_Iglesias_  @CorruptionTimes @flameycitron y dicen que no hay dinero para los enfermos de Hepatitis C,N
@variedades1961 @cmgorriaran Deberíamos serlo . Por eso existe @UPyD Su lucha se centra en buscar esa  igualdad  .,P
@Yaoslodijeee @UPyD Ya hemos pedido que se arregle el  asfaltado del carril bici  existente en varias ocasiones.,P
@variedades1961 @cmgorriaran @UPyD pero al quiere  respeto  para usted ( lo debido )  tengalo con los demás .,N
.@marianorajoy No dejemos que el  Mediterráneo sea el cementerio de Europa  #SOSEurope http://t.co/wpUauJTBzr,NEU
@CocaColaFuenla @CocaColaFuenla @ggilmir @agarzon #Noalcierredebosal2  el campamento esta en marcha  http://t.co/fkAPnJ2YYo,P
.@UPyD colaborará con UAM para convertir #Alcobendas en  ciudad universitaria  si gana las elecciones http://t.co/71Rl5RWoJB @LaVanguardia,NEU
Una biografía retrata a  Iglesias  como el sucesor aventajado y díscolo de Anguita: http://t.co/vk6K9m8AXy @Pablo_Iglesias_ !,P
@UPyD abandona 9 casos  corrupción  por falta recursos http://t.co/o4WAASKQxg Enhorabuena a casta y medios por su manipulación d la masa dócil,NEU
@marianorajoy   Adelante Presidente . Las mujeres de #SantaPola contigo. #TrabajarHacerCrecer,P
.@PSOE @sanchezcastejon El Gobierno de  @marianorajoy  es quien más medidas contra la corrupción ha aprobado http://t.co/uaUXc8jXEI,P
"@Pablomovellan  @UPyD  hay cosas que simplemente dan ASCO, esto es una de ellas, espero que desaparezcais como dicen las encuestas,adiós UPYD",N
". @micaela_navarro  presidenta del  @PSOE  nos está visitando en la mañana de hoy, acompañada por @DiegoJMateos http://t.co/KOmndCWI60",NEU
@agarzon  «Reducir los ruidos en la estación de trenes de Alicante que se producen desde las 4h hasta las 00h» https://t.co/tbaqF1NKD9,P
